 5 processes,    20 entities, 100000 lines,     0.51 seconds
 5 processes,   200 entities, 100000 lines,     2.68 seconds
 5 processes,  2000 entities, 100000 lines,    25.79 seconds
 5 processes, 20000 entities, 100000 lines,   255.65 seconds

10 processes,    20 entities, 100000 lines,     1.99 seconds
10 processes,   200 entities, 100000 lines,     2.57 seconds
10 processes,  2000 entities, 100000 lines,    14.71 seconds
10 processes, 20000 entities, 100000 lines,   143.19 seconds

20 processes,    20 entities, 100000 lines,     1.05 seconds
20 processes,   200 entities, 100000 lines,     1.84 seconds
20 processes,  2000 entities, 100000 lines,    10.25 seconds
20 processes, 20000 entities, 100000 lines,   102.60 seconds

40 processes,    20 entities, 100000 lines,     7.37 seconds
40 processes,   200 entities, 100000 lines,     2.62 seconds
40 processes,  2000 entities, 100000 lines,    11.72 seconds
40 processes, 20000 entities, 100000 lines,    93.49 seconds

20 processes,   200 entities, 200000 lines,     4.51 seconds
20 processes,  2000 entities, 200000 lines,    17.80 seconds
20 processes, 20000 entities, 200000 lines,   160.80 seconds

40 processes,   200 entities, 200000 lines,     4.33 seconds
40 processes,  2000 entities, 200000 lines,    13.57 seconds
40 processes, 20000 entities, 200000 lines,   120.86 seconds

20 processes,   200 entities, 300000 lines,     3.65 seconds
20 processes,  2000 entities, 300000 lines,    23.59 seconds
20 processes, 20000 entities, 300000 lines,   242.65 seconds

40 processes,   200 entities, 300000 lines,     6.66 seconds
40 processes,  2000 entities, 300000 lines,    19.82 seconds
40 processes, 20000 entities, 300000 lines,   175.33 seconds

20 processes,   200 entities, 500000 lines,     8.71 seconds
20 processes,  2000 entities, 500000 lines,    43.32 seconds
20 processes, 20000 entities, 500000 lines,   380.76 seconds

40 processes,   200 entities, 500000 lines,     6.29 seconds
40 processes,  2000 entities, 500000 lines,    30.60 seconds
40 processes, 20000 entities, 500000 lines,   361.75 seconds
10 processes,    20 entities, 1000 lines,    16.86 seconds
15 processes,    20 entities, 1000 lines,    17.44 seconds
20 processes,    20 entities, 1000 lines,    17.75 seconds
25 processes,    20 entities, 1000 lines,    18.39 seconds

10 processes,    20 entities, 1000 lines,    16.19 seconds
15 processes,    20 entities, 1000 lines,    16.30 seconds
20 processes,    20 entities, 1000 lines,    17.51 seconds
25 processes,    20 entities, 1000 lines,    17.60 seconds



10 processes,   200 entities, 100 lines,   152.60 seconds
15 processes,   200 entities, 100 lines,   156.79 seconds
