



 1 processes,  1600 entities,  100000 lines,     1.05 seconds



 1 processes,  1600 entities,  100000 lines,     1.09 seconds

 1 processes,  3200 entities,  100000 lines,     1.10 seconds

 1 processes,  6400 entities,  100000 lines,     1.09 seconds

 1 processes, 12800 entities,  100000 lines,     1.11 seconds

 1 processes, 25600 entities,  100000 lines,     2.70 seconds


 1 processes,  1600 entities,  200000 lines,     2.22 seconds

 1 processes,  3200 entities,  200000 lines,     2.21 seconds

 1 processes,  6400 entities,  200000 lines,     2.20 seconds

 1 processes, 12800 entities,  200000 lines,     2.21 seconds

 1 processes, 25600 entities,  200000 lines,     2.20 seconds


 1 processes,  1600 entities,  300000 lines,     3.29 seconds

 1 processes,  3200 entities,  300000 lines,     3.35 seconds

 1 processes,  6400 entities,  300000 lines,     3.28 seconds

 1 processes, 12800 entities,  300000 lines,     3.30 seconds

 1 processes, 25600 entities,  300000 lines,     8.05 seconds


 1 processes,  1600 entities,  400000 lines,     4.47 seconds

 1 processes,  3200 entities,  400000 lines,     4.42 seconds

 1 processes,  6400 entities,  400000 lines,     4.39 seconds

 1 processes, 12800 entities,  400000 lines,     4.45 seconds

 1 processes, 25600 entities,  400000 lines,     4.42 seconds




 1 processes,  1600 entities,  100000 lines,     1.04 seconds






 1 processes,  1600 entities,  100000 lines,     2.41 seconds




 1 process,  1600 entities,  100000 lines,     2.18 seconds

 1 process,  3200 entities,  100000 lines,     2.19 seconds

 1 process,  6400 entities,  100000 lines,     2.68 seconds



 1 process,  1600 entities,  100000 lines,     1.36 seconds

 1 process,  3200 entities,  100000 lines,     1.39 seconds

 1 process,  6400 entities,  100000 lines,     1.42 seconds

 1 process, 12800 entities,  100000 lines,     1.60 seconds

 1 process, 25600 entities,  100000 lines,     1.73 seconds


 1 process,  1600 entities,  200000 lines,     2.73 seconds

 1 process,  3200 entities,  200000 lines,     2.79 seconds

 1 process,  6400 entities,  200000 lines,     3.07 seconds

 1 process, 12800 entities,  200000 lines,     3.18 seconds

 1 process, 25600 entities,  200000 lines,     4.26 seconds


 1 process,  1600 entities,  300000 lines,     4.17 seconds

 1 process,  3200 entities,  300000 lines,     4.25 seconds

 1 process,  6400 entities,  300000 lines,     4.61 seconds

 1 process, 12800 entities,  300000 lines,     4.77 seconds

 1 process, 25600 entities,  300000 lines,     5.80 seconds


 1 process,  1600 entities,  400000 lines,     5.61 seconds

 1 process,  3200 entities,  400000 lines,     5.70 seconds

 1 process,  6400 entities,  400000 lines,     6.02 seconds

 1 process, 12800 entities,  400000 lines,     6.99 seconds

 1 process, 25600 entities,  400000 lines,     7.02 seconds




 1 process,  1600 entities,  500000 lines,     9.10 seconds

 1 process,  3200 entities,  500000 lines,     9.71 seconds

 1 process,  6400 entities,  500000 lines,    10.65 seconds

 1 process, 12800 entities,  500000 lines,    13.29 seconds

 1 process, 25600 entities,  500000 lines,    15.34 seconds


 1 process,  1600 entities, 1000000 lines,    15.48 seconds

 1 process,  3200 entities, 1000000 lines,    18.17 seconds

